2-2,P,P,P,P,P,P,H,H,H,H
3-3,P,P,P,P,P,P,H,H,H,H
4-4,H,H,H,P,P,H,H,H,H,H
5-5,DD,DD,DD,DD,DD,DD,DD,DD,H,H
6-6,P,P,P,P,P,H,H,H,H,H
7-7,P,P,P,P,P,P,H,H,H,H
8-8,P,P,P,P,P,P,P,P,P,P
9-9,P,P,P,P,P,S,P,P,S,S
10-10,S,S,S,S,S,S,S,S,S,S
A-A,P,P,P,P,P,P,P,P,P,P
A-2,H,H,H,H,DD,H,H,H,H,H
A-3,H,H,H,DD,DD,H,H,H,H,H
A-4,H,H,DD,DD,DD,H,H,H,H,H
A-5,H,H,DD,DD,DD,H,H,H,H,H
A-6,H,DD,DD,DD,DD,H,H,H,H,H
A-7,DD,DD,DD,DD,DD,S,S,H,H,H
A-8,S,S,S,S,DD,S,S,S,S,S
A-9,S,S,S,S,S,S,S,S,S,S
A-10,S,S,S,S,S,S,S,S,S,S
5,H,H,H,H,H,H,H,H,H,H
6,H,H,H,H,H,H,H,H,H,H
7,H,H,H,H,H,H,H,H,H,H
8,H,H,H,H,H,H,H,H,H,H
9,H,DD,DD,DD,DD,H,H,H,H,H
10,DD,DD,DD,DD,DD,DD,DD,DD,H,H
11,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD
12,H,H,S,S,S,H,H,H,H,H
13,S,S,S,S,S,H,H,H,H,H
14,S,S,S,S,S,H,H,H,H,H
15,S,S,S,S,S,H,H,H,L,H
16,S,S,S,S,S,H,H,L,L,L
17,S,S,S,S,S,S,S,S,S,S
18,S,S,S,S,S,S,S,S,S,S
19,S,S,S,S,S,S,S,S,S,S
20,S,S,S,S,S,S,S,S,S,S
21,S,S,S,S,S,S,S,S,S,S
